;Задача;Тема
1;"Пассажир оставил вещи в автоматической камере хранения, а когда пришёл получать вещи, выяснилось, что он забыл номер. Он только помнит, что в номере были числа 23 и 37. Чтобы открыть камеру, нужно правильно набрать пятизначный номер. Каково наименьшее количество номеров нужно перебрать, чтобы наверняка открыть камеру?
";Комбинаторика
2;Найдите число нулей, на которое оканчивается число  11100 – 1. ;Комбинаторика
3;"В стране из каждого города выходит 100 дорог и от каждого города можно добраться до любого другого. Одну дорогу закрыли на ремонт.
Докажите, что и теперь от каждого города можно добраться до любого другого.";Комбинаторика
4;Докажите, что из n предметов чётное число предметов можно выбрать 2n–1 способами.;Комбинаторика
0;Докажите, что   ;Комбинаторика
1;"Докажите, что каждое число a в треугольнике Паскаля равно 
   а) сумме чисел предыдущей правой диагонали, начиная с самого левого вплоть до стоящего справа над числом a. 
   б) сумме чисел предыдущей левой диагонали, начиная с самого правого вплоть до стоящего слева над числом a. ";Комбинаторика
2;Докажите, что существует граф с 2n вершинами, степени которых равны 1, 1, 2, 2, ..., n, n. ;Комбинаторика
3;В графе все вершины имеют степень 3. Докажите, что в нём есть цикл. ;Комбинаторика
4;"В стране Древляндия 101 город, и некоторые из них соединены дорогами. При этом каждые два города соединяет ровно один путь. 
Сколько в этой стране дорог? ";Комбинаторика
0;В стране Озёрная семь озер, соединённых между собой десятью непересекающимися каналами, причём от каждого озера можно доплыть до любого другого. Сколько в этой стране островов? ;Комбинаторика
1;Докажите, что для плоского графа справедливо неравенство  2E ≥ 3F. ;Комбинаторика
2;"На конференции присутствуют 50 учёных, каждый из которых знаком по крайней мере с 25 участниками конференции. 
Докажите, что найдутся четверо из них, которых можно усадить за круглый стол так, чтобы каждый сидел рядом со знакомыми ему людьми.";Комбинаторика
3;Дима нарисовал на доске семь графов, каждый из которых является деревом с шестью вершинами. Докажите, что среди них есть два изоморфных. ;Комбинаторика
0;"Какие-то две команды набрали в круговом волейбольном турнире одинаковое число очков. 
Докажите, что найдутся такие команды А, В и С, что А выиграла у В, В выиграла у С, а С выиграла у А. ";Комбинаторика
1;В стране Ориентация на всех дорогах введено одностороннее движение, причём из каждого города в любой другой можно добраться, проехав не более чем по двум дорогам. Одну дорогу закрыли на ремонт так, что из каждого города по-прежнему можно добраться до любого другого. Докажите, что для каждых двух городов это можно сделать, проехав не более чем по трём дорогам. ;Комбинаторика
2;"В кружке у каждого члена имеется один друг и один враг. Доказать, что 
   а) число членов чётно. 
   б) кружок можно разделить на два нейтральных кружка. ";Комбинаторика
3;Из полного 100-вершинного графа выкинули 98 рёбер. Доказать, что он остался связным.;Комбинаторика
4;"В стране каждые два города соединены дорогой с односторонним движением. 
Доказать, что существует город, из которого можно проехать в любой другой не более чем по двум дорогам. ";Комбинаторика
0;Доказать, что в двудольном плоском графе  E ≥ 2F,  если  E ≥ 2  (E – число рёбер, F – число областей). ;Комбинаторика
1;"12 команд сыграли турнир по волейболу в один круг. Две команды одержали ровно по 7 побед. 
Доказать, что найдутся такие команды А, В, С, что А выиграла у В, В выиграла у С, а С – у А. ";Комбинаторика
2;"Имеются две одинаковых шестеренки по 14 зубьев на общей оси. Их совместили и выбили четыре пары зубьев. 
Доказать, что шестеренки можно повернуть так, что они образуют полноценную шестеренку (без дырок).";Комбинаторика
3;"Найдите натуральное число, большее единицы, которое встречается в треугольнике Паскаля
   а) больше трёх раз. 
   б) больше четырёх раз.";Комбинаторика
4;При каких  n > 3  набор гирь с массами 1, 2, 3, ..., n граммов можно разложить на три равные по массе кучки?;Комбинаторика
0;В стране n городов. Между каждыми двумя городами установлено воздушное сообщение одной из двух авиакомпаний. Докажите, из этих двух авиакомпаний хотя бы одна такова, что что из любого города можно попасть в любой другой рейсами только этой авиакомпании. ;Комбинаторика
1;В секретной службе работают n агентов – 001, 002, ..., 007, ..., n. Первый агент следит за тем, кто следит за вторым, второй – за тем, кто следит за третьим, и т.д., n-й – за тем, кто следит за первым. Докажите, что n – нечётное число.;Комбинаторика
2;"В стране несколько городов (больше одного); некоторые пары городов соединены  дорогами. Известно, что из каждого города можно попасть в любой другой, проезжая по нескольким дорогам. Кроме того, дороги не образуют циклов, то есть если выйти из некоторого города по какой-то дороге и далее двигаться так, чтобы не проходить по одной дороге дважды, то невозможно возвратиться в начальный город. Докажите, что в этой стране найдутся хотя бы два города, каждый из которых соединен дорогой ровно с одним городом. ";Комбинаторика
3;"В сериале ""Тайна Санта-Барбары"" участвует 20 героев. Каждую серию происходит одно из событий: некоторый герой узнаёт Тайну, некоторый герой узнаёт, что кто-то знает Тайну, некоторый герой узнаёт, что кто-то не знает Тайну. Какое наибольшее число серий может продолжаться сериал? ";Комбинаторика
0;Найдите первые 99 знаков после запятой в разложении числа   . ;Комбинаторика
1;В системе связи, состоящей из 2001 абонентов, каждый абонент связан ровно с n другими. Определите все возможные значения n.  ;Комбинаторика
2;"В мешке изюма содержится 2001 изюминка общим весом 1001 г, причём ни одна изюминка не весит больше 1,002 г. 
Докажите, что весь изюм можно разложить на две чаши весов так, чтобы они показали разность, не превосходящую 1 г.";Комбинаторика
3;"В классе 20 учеников, причём каждый дружит не менее, чем с 14 другими.
Можно ли утверждать, что найдутся четыре ученика, которые все дружат между собой? ";Комбинаторика
4;" Придумайте какой-нибудь способ достроить треугольник Паскаля вверх.
";Комбинаторика
0;Покажите, что любое натуральное число n может быть представлено в виде       где x, y, z – такие целые числа, что  0 ≤ x < y < z,  либо  0 = x = y < z. ;Комбинаторика
1;Какое слагаемое в разложении  (1 + )100  по формуле бинома Ньютона будет наибольшим? ;Комбинаторика
2;Рассмотрим шахматную доску n×n. Требуется провести ладью из левого нижнего угла в правый верхний. Двигаться можно только вверх и вправо, не заходя при этом на клетки главной диагонали и ниже нее. (Ладья оказывается на главной диагонали только в начальный и в конечный моменты времени.) Сколько у ладьи существует таких маршрутов? ;Комбинаторика
3;Билеты стоят 50 центов, и 2n покупателей стоят в очереди в кассу. Половина из них имеет по одному доллару, остальные – по 50 центов. Кассир начинает продажу билетов, не имея денег. Сколько существует различных порядков в очереди, таких, что кассир всегда может дать сдачу? ;Комбинаторика
4;"Докажите, что числа Каталана удовлетворяют рекуррентному соотношению   
Cn = C0Cn–1 + C1Cn–2 + ... + Cn–1C0. 
Определение чисел Каталана Cn смотри в справочнике. ";Комбинаторика
0;"Докажите, что если p – простое число, то 
  (a + b)p – ap – bp   делится на  p при любых целых a и b.
";Комбинаторика
1;Докажите, что      тогда и только тогда, когда β можно получить из α проделав несколько (может быть один раз или ни одного) операции вида ;Комбинаторика
2;(k,  j, i)   ↔   (k – 1,  j + 1, i),     (k,  j, i)   ↔   (k – 1, j, i + 1),     (k, j, i)   ↔ (k,  j – 1, i + 1). ;Комбинаторика
3;(Эти операции можно представлять себе как сбрасывание одного кирпича вниз на диаграмме Юнга. Про диаграммы Юнга смотри здесь.) ;Комбинаторика
4;"Найдите производящие функции последовательностей многочленов Чебышева первого и второго рода:
 
Определения многочленов Чебышева можно найти в справочнике. ";Комбинаторика
5;"Обозначим через Pk,l(n) количество разбиений числа n на не более чем k слагаемых, каждое из которых не превосходит l. 
Докажите равенства:

   а)  Pk,l(n) – Pk,l–1(n) = Pk–1,l(n – l); 

   б)  Pk,l(n) – Pk–1,l(n) = Pk,l–1(n – k); 

   в)  Pk,l(n) = Pl,k(n); 

   г)  Pk,l(n) = Pk,l(kl – n). ";Комбинаторика
6;Компания из нескольких друзей вела переписку так, что каждое письмо получали все, кроме отправителя. Каждый написал одно и то же количество писем, в результате чего всеми вместе было получено 440 писем. Сколько человек могло быть в этой компании?;Комбинаторика
0;В строку выписаны 40 знаков: 20 крестиков и 20 ноликов. За один ход можно поменять местами любые два соседних знака. За какое наименьшее количество ходов можно гарантированно добиться того, чтобы какие-то 20 стоящих подряд знаков оказались крестиками?;Комбинаторика
1;В стране Леонардии все дороги – с односторонним движением. Каждая дорога соединяет два города и не проходит через другие города. Департамент статистики вычислил для каждого города суммарное число жителей в городах, откуда в него ведут дороги, и суммарное число жителей в городах, куда ведут дороги из него. Докажите, что хотя бы для одного города первое число оказалось не меньше второго.;Комбинаторика
2;"В компании из шести человек любые пять могут сесть за круглый стол так, что каждые два соседа окажутся знакомыми. 
Докажите, что и всю компанию можно усадить за круглый стол так, что каждые два соседа окажутся знакомыми.";Комбинаторика
3;"На новогодний вечер пришли несколько супружеских пар, у каждой из которых было от 1 до 10 детей. Дед Мороз выбирал одного ребёнка, одну маму и одного папу из трёх разных семей и катал их в санях. Оказалось, что у него было ровно 3630 способов выбрать нужную тройку людей. Сколько всего могло быть детей на этом 
вечере? ";Комбинаторика
4;"В финал конкурса спектаклей к 8 Марта вышли два спектакля. В первом
играли n учеников 5 класса А, а во втором – n учеников 5 класса Б. На спектакле присутствовали 2n мам всех 2n учеников. Лучший спектакль выбирается голосованием мам. Известно, что ровно половина мам честно голосует за лучший спектакль, а другая половина в любом случае голосует за спектакль, в котором участвует её ребенок.
   а) Найдите вероятность того, что лучший спектакль победит с
перевесом голосов.";Комбинаторика
0;Мария Ивановна покупает 16 шариков для Последнего звонка. В магазине есть шарики трёх цветов: синего, красного и зелёного. Сколько существует вариантов различных покупок 16 шариков, если Мария Ивановна хочет, чтобы шарики каждого цвета составляли не менее четверти от количества всех шариков?;Комбинаторика
1;В ряд стоят 100 детей разного роста. Разрешается выбрать любых 50 детей, стоящих подряд, и переставить их между собой как угодно (остальные остаются на своих местах). Как всего за шесть таких перестановок гарантированно построить всех детей по убыванию роста слева направо? ;Комбинаторика
2;В стране некоторые пары городов соединены односторонними прямыми авиарейсами (между любыми двумя городами есть не более одного рейса). Скажем, что город A доступен для города B, если из B можно долететь в A, возможно, с пересадками. Известно, что для любых двух городов P и Q существует город R, для которого и P, и Q доступны. Докажите, что существует город, для которого доступны все города страны. (Считается, что город доступен для себя.) ;Комбинаторика
3;Имеется 21 ненулевое число. Для каждых двух из них вычислены их сумма и произведение. Оказалось, что половина всех сумм положительна и половина – отрицательна. Каково наибольшее возможное количество положительных произведений? ;Комбинаторика
4;"Петя собирается все 90 дней каникул провести в деревне и при этом каждый второй день (то есть через день) ходить купаться на озеро, каждый третий – ездить в магазин за продуктами, а каждый пятый день – решать задачи по математике. (В первый день Петя сделал и первое, и второе, и третье и очень устал.) Сколько будет у Пети ""приятных"" дней, когда нужно будет купаться, но не нужно ни ездить в магазин, ни решать задачи? Сколько ""скучных"", когда совсем не будет никаких дел? ";Комбинаторика
0;"Можно ли провести в городе 10 автобусных маршрутов и установить на них 
остановки так, что какие бы 8 маршрутов ни были взяты, найдётся остановка, не лежащая ни на одном из них, а любые 9 маршрутов проходят через все остановки. ";Комбинаторика
1;"Имеются две страны: Обычная и Зазеркалье. У каждого города в
Обычной стране есть ""двойник"" в Зазеркалье, и наоборот. Однако если в Обычной стране какие-то два города соединены железной дорогой, то в Зазеркалье эти города не соединены, а каждые два несоединённых в Обычной стране города обязательно соединены железной дорогой в Зазеркалье. В Обычной стране девочка Алиса не может проехать из города A в город B, сделав менее двух пересадок. Доказать, что Алиса в Зазеркалье сможет проехать из любого города в любой другой, сделав не более двух пересадок. ";Комбинаторика
2;"Несколько фишек двух цветов расположены в ряд (встречаются оба цвета). Известно, что фишки, между которыми 10 или 15 фишек, одинаковы. 
Какое наибольшее число фишек может быть? ";Комбинаторика
3;"Тетрадный лист раскрасили в 23 цвета по клеткам. Пара цветов называется
хорошей, если существует две соседние клетки, закрашенные этими цветами. Каково минимальное число хороших пар? ";Комбинаторика
0;В ряд стоят 30 сапог: 15 левых и 15 правых. Докажите, что среди некоторых десяти подряд стоящих сапог левых и правых поровну. ;Комбинаторика
1;Докажите равенство   ;Комбинаторика
2;"У Алёши есть пирожные, разложенные в несколько коробок. Алёша записал, сколько пирожных в каждой коробке. Серёжа взял по одному пирожному из каждой коробки и положил их на первый поднос. Затем он снова взял по одному пирожному из каждой непустой коробки и положил их на  второй поднос – и так далее, пока все 
пирожные не оказались разложенными по подносам. После этого Серёжа записал, сколько пирожных на каждом подносе. Докажите, что количество различных чисел среди записанных Алёшей равно количеству различных чисел среди записанных Серёжей. ";Комбинаторика
3;"25 мальчиков и несколько девочек собрались на вечеринке и обнаружили забавную закономерность. Если выбрать любую группу не меньше чем из 10 мальчиков, а потом добавить к ним всех девочек, знакомых хотя бы с одним из этих мальчиков, то в получившейся группе число мальчиков окажется на 1 меньше, чем число девочек.
Докажите, что некоторая девочка знакома не менее чем с 16 мальчиками. ";Комбинаторика
0;Вася выписал все слова (не обязательно осмысленные), которые получаются вычеркиванием ровно двух букв из слова ИНТЕГРИРОВАНИЕ, а Маша сделала то же самое со словом СУПЕРКОМПЬЮТЕР. У кого получилось больше слов?;Комбинаторика
1;"На центральном телеграфе стоят разменные автоматы, которые меняют 20 коп. на 15, 2, 2 и 1; 15 коп. на 10, 2, 2 и 1; 10 коп. на 3, 3, 2 и 2. Петя разменял 1 руб. 25 коп. серебром на медь. Вася, посмотрев на результат, сказал: ""Я точно
знаю, какие у тебя были монеты"" и назвал их. Назовите и вы.";Комбинаторика
2;"В некотором городе разрешаются только парные обмены квартир (если две семьи
обмениваются квартирами, то в тот же день они не имеют права участвовать в
другом обмене). Докажите, что любой сложный обмен квартирами можно осуществить за два дня.
(Предполагается, что при любых обменах каждая семья как до, так и после обмена занимает одну квартиру, и что семьи при этом сохраняются). ";Комбинаторика
3;Имеется 20 человек – 10 юношей и 10 девушек. Сколько существует способов составить компанию, в которой было бы одинаковое число юношей и девушек? ;Комбинаторика
4;Международная комиссия состоит из девяти человек. Материалы комиссии хранятся в сейфе. Сколько замков должен иметь сейф, сколько ключей для них нужно изготовить и как их разделить между членами комиссии, чтобы доступ к сейфу был возможен тогда и только тогда, когда соберутся не менее шести членов комиссии? ;Комбинаторика
0;Вычислите сумму:    ;Комбинаторика
1;Из цифр 1 и 2 составили пять n-значных чисел так, что у каждых двух чисел совпали цифры ровно в m разрядах, но ни в одном разряде не совпали все пять чисел. Докажите, что отношение m/n не меньше ⅖ и не больше ⅗.;Комбинаторика
2;"В шахматном турнире на звание мастера спорта участвовало 12 человек, каждый
сыграл с каждым по одной партии. За победу в партии даётся 1 очко, за ничью – 0,5 очка, за поражение – 0 очков. По итогам турнира звание мастера спорта присваивали, если участник набрал более 70% от числа очков, получаемых в
случае выигрыша всех партий. Могли ли получить звание мастера спорта 
   а) 7 участников;  
   б) 8 участников? ";Комбинаторика
3;Докажите, что для всех неотрицательных n выполняются равенства ;Комбинаторика
4;   а)   ;Комбинаторика
5;   б)   ;Комбинаторика
6;Придумайте какое-либо взаимно-однозначное соответствие между разбиениями натурального числа на различные и на нечётные слагаемые. ;Комбинаторика
0;В очереди к стоматологу стоят 30 ребят: мальчиков и девочек. Часы на стене показывают 8:00. Как только начинается новая минута, каждый мальчик, за которым стоит девочка, пропускает её вперед. Докажите, что перестановки в очереди закончатся до 8:30, когда откроется дверь кабинета. ;Комбинаторика
1;Докажите, что каждое число a в треугольнике Паскаля, уменьшенное на 1, равно сумме всех чисел, заполняющих параллелограмм, ограниченный теми правой и левой диагоналями, на пересечении которых стоит число a (сами эти диагонали в рассматриваемый параллелограмм не включаются).;Комбинаторика
2;"В связном графе степени четырёх вершин равны 3, а степени остальных вершин равны 4. 
Докажите, что нельзя удалить ребро так, чтобы граф распался на две изоморфные компоненты связности. ";Комбинаторика
3;Докажите, что связный граф, у которого число рёбер на единицу меньше числа вершин, является деревом. ;Комбинаторика
4;Волейбольная сетка имеет вид прямоугольника размером 50×600 клеток.  Какое наибольшее число верёвочек можно перерезать так, чтобы сетка не распалась на куски?;Комбинаторика
0;В квадрате отметили 20 точек и соединили их непересекающимися отрезками друг с другом и с вершинами квадрата так, что квадрат разбился на треугольники. Сколько получилось треугольников? ;Комбинаторика
1;Докажите, что для плоского связного графа справедливо неравенство  E ≤ 3V – 6.;Комбинаторика
2;Докажите, что для любого плоского графа (в том числе и несвязного) справедливо неравенство  E ≤ 3V – 6.;Комбинаторика
3;Докажите, что граф, имеющий пять вершин, каждая из которых соединена ребром со всеми остальными, не является плоским. ;Комбинаторика
4;Можно ли построить три дома, вырыть три колодца и соединить тропинками каждый дом с каждым колодцем так, чтобы тропинки не пересекались? ;Комбинаторика
0;Докажите, что граф, имеющий 10 вершин, степень каждой из которых равна 5, – не плоский. ;Комбинаторика
1;"Можно ли составить решётку, изображённую на рисунке 
   а) из пяти ломаных длины 8? 
   б) из восьми ломаных длины 5? 
(Длина стороны клетки равна 1.) ";Комбинаторика
3;"Каждый из 102 учеников одной школы знаком не менее чем с 68 другими. 
Докажите, что среди них найдутся четверо, имеющие одинаковое число знакомых.";Комбинаторика
4;Расстоянием между двумя произвольными вершинами дерева будем называть длину простого пути, соединяющего их. Удалённостью вершины дерева назовём сумму расстояний от неё до всех остальных вершин. Докажите, что в дереве, у которого есть две вершины с удалённостями, отличающимися на 1, нечётное число вершин.;Комбинаторика
5;"В некоторой стране каждый город соединён с каждым дорогой с односторонним движением. 
Докажите, что найдётся город, из которого можно добраться в любой другой.";Комбинаторика
0;"20 команд сыграли круговой турнир по волейболу. 
Докажите, что команды можно занумеровать числами от 1 до 20 так, что 1-я команда выиграла у 2-й, 2-я – у 3-й, ..., 19-я – у 20-й.";Комбинаторика
1;Есть  волейбольная  сетка 5×10. Какое максимальное число веревок, её составляющих, можно разрезать так, чтобы она  не распалась? ;Комбинаторика
2;"Докажите равенства (см. треугольник Лейбница, задача 
60424): ";Комбинаторика
3;"   а) 1 = 1/2 + 1/6 + 1/12 + 1/20 + 1/30 + ... ; ";Комбинаторика
4;"   б) 1/2 = 1/3 + 1/12 + 1/30 + 1/60 + 1/105 + ... ; ";Комбинаторика
5;   в) 1/3 = 1/4 + 1/20 + 1/60 + 1/140 + 1/280 + ... . ;Комбинаторика
6;"Найдите сумму (см. задачу 60424 про треугольник Лейбница): 
   1/12 + 1/30 + 1/60 + 1/105 + ...  
и обобщите полученный результат. ";Комбинаторика
7;а) Найдите производящую функцию последовательности чисел Люка (определение чисел Люка смотри в задаче 60585);Комбинаторика
8;"б) Пользуясь этой функцией, выразите Ln через φ и
 (см. задачу 61502). ";Комбинаторика
0;"Найдите производящие функции последовательности многочленов Фибоначчи  F(x, z) = F0(x) + F1(x)z + F2(x)z² + ... + Fn(x)zn + ...
и последовательности многочленов Люка   
L(x, z) = L0(x) + L1(x)z + L2(x)z² + ... + Ln(x)zn + ...
Определения многочленов Фибоначчи и Люка можно найти в 
справочнике. ";Комбинаторика
1;"На доске написано n натуральных чисел. Пусть ak – количество тех из них, которые больше k. Исходные числа стерли и вместо них написали все положительные ak. Докажите, что если с новыми числами сделать то же самое, то на доске окажется исходный набор чисел. 
Например, для чисел 5, 3, 3, 2, получается следующая цепочка   (5, 3, 3, 2)  →  (4, 4, 3, 1, 1)  →  (5, 3, 3, 2). ";Комбинаторика
2;Найдите наибольшее число цветов, в которые можно покрасить рёбра куба (каждое ребро одним цветом) так, чтобы для каждой пары цветов нашлись два соседних ребра, покрашенные в эти цвета. Соседними считаются рёбра, имеющие общую вершину.;Комбинаторика
3;"Среди n рыцарей каждые двое – либо друзья, либо враги. У каждого из рыцарей ровно три врага, причём враги его друзей являются его врагами. 
При каких n такое возможно?";Комбинаторика
4;"В языке племени АУ две буквы – ""a"" и ""y"". Некоторые последовательности этих букв являются словами, причём в каждом слове не меньше одной и не больше 13 букв. Известно, что если написать подряд любые два слова, то полученная последовательность букв не будет словом. Найдите максимальное возможное количество слов в таком языке. ";Комбинаторика
0;На кольцевой дороге через равные промежутки расположены 25 постов, на каждом стоит полицейский. Полицейские пронумерованы в каком-то порядке числами от 1 до 25. Требуется, чтобы они перешли по дороге так, чтобы снова на каждом посту был полицейский, но по часовой стрелке за номером 1 стоял номер 2, за номером 2 стоял номер 3, ..., за номером 25 стоял номер 1. Докажите, что если организовать переход так, чтобы суммарное пройденное расстояние было наименьшим, то кто-то из полицейских останется на своём посту. ;Комбинаторика
1;На полке в произвольном порядке стоят десять томов энциклопедии, пронумерованных от 1 до 10. Разрешается менять местами любые два тома, между которыми стоит не меньше четырёх других томов. Всегда ли можно расставить все тома по возрастанию номеров?;Комбинаторика
2;За круглым столом сидят 40 человек. Может ли случиться, что у каждых двух из них, между которыми сидит чётное число человек, есть за столом общий знакомый, а у каждых двух, между которыми сидит нечётное число человек, общего знакомого нет? ;Комбинаторика
3;"У Пети есть 12 одинаковых разноцветных вагончиков (некоторые, возможно, одного цвета, но неизвестно, сколько вагончиков какого цвета). Петя считает, что различных 12-вагонных поездов он сможет составить больше, чем 11-вагонных. Не ошибается ли Петя? (Поезда считаются одинаковыми, если в них на одних и
тех же местах находятся вагончики одного и того же цвета.)";Комбинаторика
4;"Среди 49 школьников каждый знаком не менее чем с 25 другими. 
Докажите, что можно их разбить на группы из двух или трёх человек так, чтобы каждый был знаком со всеми в своей группе. ";Комбинаторика
0;По кругу стоят 10 детей разного роста. Время от времени один из них перебегает на другое место (между какими-то двумя детьми). Дети хотят как можно скорее встать по росту в порядке возрастания по часовой стрелке (от самого низкого к самому высокому). Какого наименьшего количества таких перебежек им заведомо хватит, как бы они ни стояли изначально? ;Комбинаторика
1;На плоскости сидят кузнечик Коля и 2020 его товарищей. Коля собирается совершить прыжок через каждого из остальных кузнечиков (в произвольном порядке) так, что начальная и конечная точка каждого прыжка симметричны относительно перепрыгиваемого кузнечика. Назовём точку финишной, если Коля может в неё попасть после 2020-го прыжка. При каком наибольшем числе $N$ найдётся начальная расстановка кузнечиков, для которой имеется ровно $N$ различных возможных финишных точек? ;Комбинаторика
2;а) Докажите, что      (сумма берётся по всем целым i, 0 ≤ i ≤ n/2). ;Комбинаторика
3;"б) Докажите, что если p и q – различные числа и  p + q = 1,  то
 ";Комбинаторика
4;"Дано n точек,  n > 4.  Докажите, что можно соединить их стрелками так, чтобы из каждой точки в любую другую можно было попасть, пройдя либо по одной стрелке, либо по двум (каждые две точки можно соединить стрелкой только в одном направлении; идти по стрелке можно только в указанном на ней направлении). 











					Прислать комментарий
				



			   
			
				Решение
			










					Задача
					
						73799







						Темы:
						 
					

						[
					



								Ориентированные графы							



						]
					



						[
					



								Доказательство от противного							



						]
					




Сложность: 4-Классы: 7,8,9



Автор: Розенштейн Б.
В городе одна синяя площадь и n зелёных, причём каждая зелёная площадь соединена улицами с синей и с двумя зелёными, как показано на рисунке. На каждой из 2n улиц ввели одностороннее движение так, что на каждую площадь можно проехать и с каждой – уехать. Докажите, что с каждой площади этого города можно, не нарушая правил, доехать до любой из остальных. 













					Прислать комментарий
				



			   
			
				Решение
			



Страница:  << 48 49 50  51  52 53 54 >> [Всего задач: 1001]
     



по 1
			по 2
			по 5
			по 10
			по 20
			по 50
			по 100
		
		 
		
		с решениями
		 
		



";Комбинаторика
